Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
India,IND,Real effective exchange rate index (2010 = 100),PX.REX.REER,..,..,..,..,..,..,..,..,..,..,..,..
India,IND,Consumer price index (2010 = 100),FP.CPI.TOTL,100,108.911793364834,119.235538897084,131.18041028234,139.924446113916,146.790501522573,154.054013105394,159.18119775209,165.451068899504,171.621576003377,182.988822584425,192.378724699015
India,IND,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,0.890396797,1.067848976,1.183631838,1.165457452,1.215652255,1.293189247,1.408310236,1.333856253,1.343296766,1.401954779,1.663038194,..
India,IND,High-technology exports (current US$),TX.VAL.TECH.CD,10659474981,14503888164,13873821378,17938424107,18326340971,14583513323,14261348931,15101761889,20182210999,23470537791,21583196861,27446653652
India,IND,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,7.72334090991087,7.86856496720332,7.69991799321122,8.86996676725668,9.21716625970347,8.0218788667586,7.66035730721306,7.36067293441268,9.04035573096476,10.223499242826,11.0322568544088,..
India,IND,ICT goods exports (% of total goods exports),TX.VAL.ICTG.ZS.UN,1.9980356076,2.1826704858,1.9800508912,1.5917727747,0.973665883,0.8890883092,0.9525602124,0.8641246951,1.1822248338,2.0039910814,2.0547389511,..
India,IND,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,46.335545842622,44.819288452736,46.1653897891749,48.4413845617867,47.5793301671389,48.8670014249959,47.3007499494331,42.3751022077089,41.3042841946734,43.95814821332,48.9656874345531,49.6656993540886
India,IND,Individuals using the Internet (% of population),IT.NET.USER.ZS,7.5,10.07,11.1,12.3,13.5,14.9,16.5,18.2,20.08130004,29.4,43,..
India,IND,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,60.94154381,71.49252962,68.31524817,69.19699374,72.86262075,76.40759943,85.14868348,87.31773719,86.94256319,84.27000876,83.60189609,..
India,IND,Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,156.219665527344,..,..,..,..,216.000823974609,..,..,252.703918457031,..,..,..
India,IND,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,100.61565,..,..,..,..,95.54919,..,..,73.05997,..,..,..
India,IND,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,1.66979782385288,2.27307639412492,4.50631144825034,6.15220243237488,8.44473102380872,11.6879533201661,38.2954619881319,123.099916712606,187.804272565387,389.197957699841,479.924561978838,..
India,IND,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.788489997386932,0.755020022392273,0.743990004062653,0.706420004367828,0.701590001583099,0.693099975585938,0.669839978218079,0.666029989719391,0.655730009078979,..,..,..
India,IND,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,116583081982.721,137935254028.866,145029213187.996,148702915003.599,156614386265.659,155717122914.28,161234203967.054,184672831370.242,204322540308.136,214127968224.741,202492396705.062,239855724921.412
India,IND,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,69.6530257487833,67.9256534305182,70.2904168687544,70.5232909745437,70.4858746094959,72.6035402764256,72.2069482874813,72.2272050568236,72.7978240190186,72.3557466374061,80.1061554239421,80.6906865432431
India,IND,Investment in ICT with private participation (current US$),IE.PPI.ICTI.CD,..,..,..,..,..,..,..,..,..,..,..,..
India,IND,"School enrollment, secondary (% net)",SE.SEC.NENR,..,..,..,61.63147,..,..,..,..,..,..,..,..
India,IND,"School enrollment, primary (% net)",SE.PRM.NENR,90.95531,90.37191,91.57155,92.25734,..,..,..,..,..,..,..,..
India,IND,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",SE.PRM.CUAT.ZS,..,51.4244613647461,..,..,..,..,..,..,..,..,..,..
India,IND,"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",SE.TER.CUAT.ST.ZS,..,9.89301013946533,..,..,..,..,..,..,..,..,..,..
India,IND,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,..,26.8885498046875,..,..,..,..,..,..,..,..,..,..
India,IND,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.PO.ZS,..,10.0123796463013,..,..,..,..,..,..,..,..,..,..
India,IND,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,..,37.5658302307129,..,..,..,..,..,..,..,..,..,..
India,IND,"Current education expenditure, secondary (% of total expenditure in secondary public institutions)",SE.XPD.CSEC.ZS,..,..,..,..,..,..,..,..,..,..,..,..
India,IND,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,..,..,..,..,..,..,..,..,..,..,..,..
India,IND,"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)",SE.XPD.CTER.ZS,..,..,..,..,..,..,..,..,..,..,..,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 09/16/2022,,,,,,,,,,,,,,,
